2026-03-30 12:52:41.643 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:52:41.659 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:53:03.468 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 12:53:08.455 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 12:53:30.139 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 12:53:34.547 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 12:53:56.864 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 12:54:01.261 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:54:01.340 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:54:23.843 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 12:54:28.559 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:54:28.559 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:54:50.552 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 12:54:54.439 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:54:54.442 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:55:15.943 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
